access_id,access_type,source_osm_id,source_osm_element,name,district_name,nearest_entrance_distance_m,fallback_reason,x_m,y_m,snap_edge_index,snap_edge_fraction,off_network_connector_m,snap_cost_to_edge_u_m,snap_cost_to_edge_v_m,snapped_x_m,snapped_y_m,snapped_into_edge_interior
entrance:1777846001,entrance,1777846001,node,,Chilanzar district,0.0,,516413.0774477045,4567200.556525144,39505,0.866254603,0.0,21.6943,3.3495,516413.077,4567200.557,True
entrance:1777846003,entrance,1777846003,node,,Chilanzar district,0.0,,516330.6684777145,4567297.109719987,51799,0.863445577,0.0,50.0566,7.9165,516330.668,4567297.11,True
entrance:1777846008,entrance,1777846008,node,,Chilanzar district,0.0,,516415.5134149713,4567331.415515427,39508,0.825427884,0.0,22.6037,4.7805,516415.513,4567331.416,True
entrance:1777846021,entrance,1777846021,node,,Chilanzar district,0.0,,516414.9057951773,4567377.962782549,39509,0.807982265,0.0,23.992,5.7017,516414.906,4567377.963,True
entrance:1777846030,entrance,1777846030,node,,Chilanzar district,0.0,,516299.5816738507,4567442.136785916,39512,0.799652358,0.0,42.3775,10.6174,516299.582,4567442.137,True
entrance:1777850319,entrance,1777850319,node,Chorsu,Shaykhantakhur district,0.0,,519747.7468367583,4574908.335552629,39514,0.714249685,0.0,19.2609,7.7057,519747.747,4574908.336,True
entrance:1786939640,entrance,1786939640,node,Gafur G'ulom,Shaykhantakhur district,0.0,,520716.4233506287,4575156.137559292,35236,0.917929796,0.0,49.558,4.4309,520716.423,4575156.138,True
entrance:2564123992,entrance,2564123992,node,Шахристан,Yunusabad district,0.0,,524105.19075204304,4577875.001583532,53595,0.838322454,0.0,35.7224,6.8894,524105.191,4577875.002,True
entrance:2564123993,entrance,2564123993,node,Шахристан,Yunusabad district,0.0,,524060.57523890084,4577878.450445083,53596,0.905369402,0.0,31.1357,3.2544,524060.575,4577878.45,True
entrance:3550608273,entrance,3550608273,node,Абдулла Кадыри,Yunusabad district,0.0,,523650.4401065604,4574544.960169259,57042,0.511082458,0.0,6.8464,6.5494,523650.44,4574544.96,True
entrance:3550608274,entrance,3550608274,node,Абдулла Кадыри,Yunusabad district,0.0,,523663.11660295015,4574543.258495818,57039,0.478983152,0.0,5.4548,5.9335,523663.117,4574543.258,True
entrance:3725779683,entrance,3725779683,node,Xalqlar Do'stligi,Chilanzar district,0.0,,520353.7829515243,4573347.083390841,57617,0.594889457,0.0,14.1845,9.6594,520353.783,4573347.083,True
entrance:4185804596,entrance,4185804596,node,Buyuk Ipak Yo'li,Mirzo Ulugbek district,0.0,,527434.6233872548,4575027.419227369,59526,0.0,0.0,0.0,56.5353,527434.623,4575027.419,False
entrance:4568986686,entrance,4568986686,node,Yunusobod,Yunusabad district,0.0,,524446.5489429816,4579591.73665783,68852,0.140284985,0.0,8.0621,49.4075,524446.549,4579591.737,True
entrance:4694744697,entrance,4694744697,node,Buyuk Ipak Yo'li,Mirzo Ulugbek district,0.0,,527314.5877462302,4575070.652110124,39392,1.0,0.0,20.2963,0.0,527314.588,4575070.652,False
entrance:4694744698,entrance,4694744698,node,Buyuk Ipak Yo'li,Mirzo Ulugbek district,0.0,,527338.2016382948,4575102.403204479,39393,0.684052357,0.0,19.2793,8.9047,527338.202,4575102.403,True
entrance:4759259236,entrance,4759259236,node,Yunusobod,Yunusabad district,0.0,,524361.4820262931,4579468.164825678,64460,0.183990018,0.0,11.246,49.8768,524361.482,4579468.165,True
entrance:4977114644,entrance,4977114644,node,Mirzo Ulugʻbek,Chilanzar district,0.0,,517887.427036671,4570152.301339917,36912,0.955791227,0.0,18.9729,0.8776,517887.427,4570152.301,False
entrance:5185753347,entrance,5185753347,node,Paxtakor,Shaykhantakhur district,0.0,,521435.61704245355,4574041.739986728,39474,0.50958519,16.0797,30.9377,29.7739,521437.638,4574057.692,True
entrance:5323228253,entrance,5323228253,node,Беруни,Shaykhantakhur district,0.0,,517225.1984517584,4577119.460674891,36298,0.935936229,0.0,60.4955,4.1408,517225.198,4577119.461,True
entrance:5323228264,entrance,5323228264,node,Beruniy,Shaykhantakhur district,0.0,,517250.6677842396,4576981.049833636,36296,0.813513677,0.0,56.6818,12.9935,517250.668,4576981.05,True
entrance:5431967358,entrance,5431967358,node,Chilonzor,Chilanzar district,0.0,,517135.0550030076,4569307.115338828,64584,1.0,0.0,14.9409,0.0,517135.055,4569307.115,False
entrance:5432735054,entrance,5432735054,node,Mashinasozlar,Yashnabad district,0.0,,525674.5885674116,4571999.118541471,38669,0.341622935,0.0,77.8953,150.1201,525674.589,4571999.119,True
entrance:5432790808,entrance,5432790808,node,,Shaykhantakhur district,0.0,,521194.6388086216,4573512.771088493,39491,0.837903225,0.0,45.9695,8.893,521194.639,4573512.771,True
entrance:5433157103,entrance,5433157103,node,G'afur G'ulom,Almazar district,0.0,,520570.97434072,4575125.538536959,35237,0.938318939,0.0,110.5812,7.2691,520570.974,4575125.539,True
entrance:5433186399,entrance,5433186399,node,Беруни,Almazar district,0.0,,517283.20409068925,4577198.942379813,76644,0.0,0.0,0.0,18.0079,517283.204,4577198.942,False
entrance:5433372094,entrance,5433372094,node,Kosmonavtlar,Yakkasaray district,0.0,,522076.3506733522,4572734.628092502,39330,0.954824726,0.0,100.3087,4.7459,522076.351,4572734.628,True
entrance:5462640967,entrance,5462640967,node,Mirzo Ulugʻbek,Chilanzar district,0.0,,517777.11178823304,4570019.555795818,79142,0.0,0.0,0.0,27.1641,517777.112,4570019.556,False
entrance:6154109557,entrance,6154109557,node,Xalqlar Do'stligi,Chilanzar district,0.0,,520304.2173963376,4573306.45697552,62874,0.123049206,0.0,4.2386,30.2078,520304.217,4573306.457,True
entrance:661184747,entrance,661184747,node,Oybek,Mirabad district,0.0,,522922.91555156664,4571955.592654254,35293,0.875718721,0.0,45.8693,6.5097,522922.916,4571955.593,True
entrance:661184754,entrance,661184754,node,Oybek,Mirabad district,0.0,,522863.9880217524,4571911.699835056,9391,0.0,0.0,0.0,39.5522,522863.988,4571911.7,False
entrance:661184760,entrance,661184760,node,Oybek,Mirabad district,0.0,,522808.9885959975,4571979.147188765,9394,0.0,0.0,0.0,47.4915,522808.989,4571979.147,False
entrance:661184791,entrance,661184791,node,Mingoʻrik,Mirabad district,0.0,,522869.1780033879,4572018.38084416,35294,0.885045779,0.0,36.7734,4.7763,522869.178,4572018.381,True
entrance:7053509979,entrance,7053509979,node,Turkiston,Yunusabad district,0.0,,524762.0937367886,4580584.943482453,103284,0.097606716,0.0,6.2082,57.396,524762.094,4580584.943,True
entrance:7053509980,entrance,7053509980,node,Yunusobod,Yunusabad district,0.0,,524508.2677390431,4579553.022091215,68885,0.160069757,0.0,10.6515,55.8913,524508.268,4579553.022,True
entrance:7053509983,entrance,7053509983,node,Yunusobod,Yunusabad district,0.0,,524395.8307874732,4579401.114418727,103299,0.073676544,0.0,3.4721,43.6536,524395.831,4579401.114,True
entrance:7053517096,entrance,7053517096,node,Turkiston,Yunusabad district,0.0,,524688.7386483912,4580600.124787219,68892,0.140026181,0.0,10.094,61.9925,524688.739,4580600.125,True
entrance:7851505409,entrance,7851505409,node,Turkiston,Yunusabad district,0.0,,524808.5859521108,4580800.466816605,103302,0.108059522,0.0,6.2392,51.4997,524808.586,4580800.467,True
entrance:7851505411,entrance,7851505411,node,Turkiston,Yunusabad district,0.0,,524728.9667379189,4580779.789561626,103305,0.11355711,0.0,7.1828,56.0696,524728.967,4580779.79,True
entrance:7997001763,entrance,7997001763,node,Bekat 6,Yashnabad district,0.0,,530007.5787647339,4567286.935195901,101586,0.633816035,0.0,42.9205,24.7971,530007.579,4567286.935,True
entrance:7997001764,entrance,7997001764,node,,Bektemir district,0.0,,527439.8063040971,4565196.838286065,107755,0.748299455,0.0,64.8178,21.8023,527439.806,4565196.838,True
entrance:854338139,entrance,854338139,node,Chilonzor,Chilanzar district,0.0,,517070.6539219645,4569191.274669769,74171,0.349000702,0.0,10.852,20.2425,517070.654,4569191.275,True
entrance:854338140,entrance,854338140,node,Chilonzor,Chilanzar district,0.0,,517051.1854801884,4569157.369287424,74170,0.333440136,0.0,9.4407,18.8724,517051.185,4569157.369,True
entrance:854338141,entrance,854338141,node,Chilonzor,Chilanzar district,0.0,,517145.47574223176,4569149.897539038,36920,0.327361795,0.0,22.4918,46.2144,517145.476,4569149.898,True
entrance:854338142,entrance,854338142,node,Chilonzor,Chilanzar district,0.0,,517123.87322585983,4569111.8349547,36922,0.41137022,0.0,21.3108,30.4936,517123.873,4569111.835,True
entrance:854338143,entrance,854338143,node,Chilonzor,Chilanzar district,0.0,,517158.2961856693,4569346.114367047,36925,0.505588776,0.0,21.2044,20.7356,517158.296,4569346.114,True
entrance:854338144,entrance,854338144,node,Chilonzor,Chilanzar district,0.0,,517212.7332739957,4569265.1794468565,36919,0.706894974,0.0,18.6798,7.7453,517212.733,4569265.179,True
entrance:854338145,entrance,854338145,node,Chilonzor,Chilanzar district,0.0,,517231.1480379014,4569297.9726216765,36918,0.721515578,0.0,18.9595,7.3178,517231.148,4569297.973,True
