district_id,district_name,year,metro_state_id,open_station_count,population_modelled_available,population_growth_pct_from_2015,metro_access_population_standardized,metro_access_pct_standardized,metro_access_pct_change_from_2015_pp,population_model_status,population_projection_flag,geography_version
1726277,Shaykhantakhur district,2021,metro_state_43,43,216975.467754,11.227383,32003.33183,14.74974667,-0.047513122,modelled_estimate,False,current_12_district_analysis_geometry
1726277,Shaykhantakhur district,2022,metro_state_43,43,221327.824119,13.458516,32630.600371,14.743108103,-0.05415169,modelled_estimate,False,current_12_district_analysis_geometry
1726277,Shaykhantakhur district,2023,metro_state_48,48,225874.027211,15.789021,33296.560393,14.741208099,-0.056051693,modelled_estimate,False,current_12_district_analysis_geometry
1726277,Shaykhantakhur district,2024,metro_state_50,50,230457.991268,18.138882,33965.024153,14.738054413,-0.059205379,modelled_estimate,False,current_12_district_analysis_geometry
1726277,Shaykhantakhur district,2025,metro_state_50,50,234955.603575,20.444478,34608.177223,14.729666667,-0.067593125,modelled_estimate,False,current_12_district_analysis_geometry
1726277,Shaykhantakhur district,2026,metro_state_50,50,239309.416266,22.676357,35232.934229,14.722752986,-0.074506806,modelled_estimate,True,current_12_district_analysis_geometry
1726280,Almazar district,2015,metro_state_29,29,181481.580384,0.0,8759.981596,4.826926004,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726280,Almazar district,2016,metro_state_29,29,184674.408348,1.759312,8914.723508,4.827265233,0.000339229,modelled_estimate,False,current_12_district_analysis_geometry
1726280,Almazar district,2017,metro_state_29,29,187855.257554,3.512024,9073.766656,4.830190421,0.003264417,modelled_estimate,False,current_12_district_analysis_geometry
1726280,Almazar district,2018,metro_state_29,29,191040.933814,5.267396,9231.817934,4.832376889,0.005450885,modelled_estimate,False,current_12_district_analysis_geometry
1726280,Almazar district,2019,metro_state_29,29,194456.328496,7.149347,9401.34169,4.83468024,0.007754236,modelled_estimate,False,current_12_district_analysis_geometry
1726280,Almazar district,2020,metro_state_43,43,198081.22925,9.14674,9581.415729,4.837114433,0.010188429,modelled_estimate,False,current_12_district_analysis_geometry
1726280,Almazar district,2021,metro_state_43,43,201859.511572,11.22865,9769.532242,4.839768097,0.012842093,modelled_estimate,False,current_12_district_analysis_geometry
1726280,Almazar district,2022,metro_state_43,43,205908.973673,13.459985,9973.678797,4.843731975,0.016805971,modelled_estimate,False,current_12_district_analysis_geometry
1726280,Almazar district,2023,metro_state_48,48,210138.871013,15.790743,10183.188685,4.845932899,0.019006895,modelled_estimate,False,current_12_district_analysis_geometry
1726280,Almazar district,2024,metro_state_50,50,214403.820227,18.140816,10396.634912,4.849090329,0.022164325,modelled_estimate,False,current_12_district_analysis_geometry
1726280,Almazar district,2025,metro_state_50,50,218588.553069,20.446688,10606.062338,4.852066675,0.025140671,modelled_estimate,False,current_12_district_analysis_geometry
1726280,Almazar district,2026,metro_state_50,50,222639.413805,22.678794,10809.503276,4.855161578,0.028235574,modelled_estimate,True,current_12_district_analysis_geometry
1726283,Sergeli district,2015,metro_state_29,29,47223.127135,0.0,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726283,Sergeli district,2016,metro_state_29,29,48053.948621,1.759353,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726283,Sergeli district,2017,metro_state_29,29,48881.683369,3.512169,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726283,Sergeli district,2018,metro_state_29,29,49710.584225,5.267455,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726283,Sergeli district,2019,metro_state_29,29,50599.354634,7.149521,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726283,Sergeli district,2020,metro_state_43,43,51542.622126,9.146991,2406.006881,4.667994723,4.667994723,modelled_estimate,False,current_12_district_analysis_geometry
